wave_year,country,region,age,gender,urban,own_ed_level,parent_ed_level,own_years_schooling,parent_years_schooling,father_ed_level,mother_ed_level,father_years_schooling,mother_years_schooling,sample_weight,hh_income_proxy,migration_exposure,multigenerational_hh,cohort
2010,182,Tashkent city,61,female,NA,lower_secondary,NA,9,NA,NA,NA,NA,NA,5185.65771484375,NA,NA,1,55-64
2010,182,Samarkand region,56,female,0,upper_secondary,upper_secondary,11,11,upper_secondary,upper_secondary,10,10,5185.65771484375,NA,NA,0,55-64
2010,182,Namangan region,57,female,0,lower_secondary,NA,9,NA,NA,NA,NA,NA,5185.65771484375,NA,NA,0,55-64
2010,182,Bukhara region,30,male,1,tertiary,tertiary,16,16,tertiary,upper_secondary,15,10,16047.2294921875,NA,NA,0,25-34
2010,182,Bukhara region,36,female,1,upper_secondary,NA,11,NA,NA,NA,NA,NA,12208.046875,NA,NA,1,35-44
2010,182,Tashkent region,48,male,1,upper_secondary,NA,11,NA,NA,NA,NA,NA,9542.7158203125,NA,NA,0,45-54
2010,182,Bukhara region,28,female,0,lower_secondary,upper_secondary,9,11,upper_secondary,upper_secondary,10,10,15867.6982421875,NA,NA,0,25-34
2010,182,Khorezm region,37,female,0,upper_secondary,upper_secondary,11,11,upper_secondary,upper_secondary,10,10,12208.046875,NA,NA,0,35-44
2010,182,Tashkent region,37,male,0,lower_secondary,lower_secondary,9,9,lower_secondary,lower_secondary,8,8,11876.6064453125,NA,NA,0,35-44
2010,182,Jizzakh region,26,female,0,upper_secondary,lower_secondary,11,9,lower_secondary,lower_secondary,8,8,15867.6982421875,NA,NA,0,25-34
2010,182,Samarkand region,38,female,1,upper_secondary,upper_secondary,11,11,upper_secondary,upper_secondary,10,10,12208.046875,NA,NA,1,35-44
2010,182,Samarkand region,50,female,1,upper_secondary,lower_secondary,11,9,lower_secondary,lower_secondary,9,9,10240.12109375,NA,NA,0,45-54
2010,182,Bukhara region,27,female,0,lower_secondary,upper_secondary,9,11,upper_secondary,upper_secondary,10,10,15867.6982421875,NA,NA,1,25-34
2010,182,Samarkand region,27,female,0,upper_secondary,upper_secondary,11,11,upper_secondary,upper_secondary,12,10,15867.6982421875,NA,NA,0,25-34
2010,182,Tashkent region,64,female,1,lower_secondary,NA,9,NA,NA,NA,NA,NA,5185.65771484375,NA,NA,0,55-64
2010,182,Tashkent region,28,female,1,lower_secondary,lower_secondary,9,9,primary,lower_secondary,4,8,15867.6982421875,NA,NA,0,25-34
2010,182,Karakalpakstan republic,62,female,0,upper_secondary,no_formal,11,0,no_formal,no_formal,0,0,5185.65771484375,NA,NA,1,55-64
2010,182,Bukhara region,29,female,0,upper_secondary,tertiary,11,16,post_secondary_non_tertiary,tertiary,13,15,15867.6982421875,NA,NA,0,25-34
2010,182,Samarkand region,43,male,1,upper_secondary,upper_secondary,11,11,upper_secondary,lower_secondary,10,8,11876.6064453125,NA,NA,0,35-44
2010,182,Tashkent city,26,male,NA,tertiary,lower_secondary,16,9,lower_secondary,lower_secondary,8,9,16047.2294921875,NA,NA,0,25-34
2010,182,Tashkent city,38,female,NA,upper_secondary,NA,11,NA,NA,NA,NA,NA,12208.046875,NA,NA,0,35-44
2010,182,Samarkand region,62,male,1,tertiary,tertiary,16,16,tertiary,NA,15,NA,4571.1123046875,NA,NA,0,55-64
2010,182,Tashkent region,51,female,0,tertiary,lower_secondary,16,9,lower_secondary,primary,7,6,10240.12109375,NA,NA,0,45-54
2010,182,Khorezm region,38,female,0,upper_secondary,upper_secondary,11,11,upper_secondary,upper_secondary,10,10,12208.046875,NA,NA,0,35-44
2010,182,Jizzakh region,29,female,0,lower_secondary,post_secondary_non_tertiary,9,13,post_secondary_non_tertiary,upper_secondary,14,10,15867.6982421875,NA,NA,0,25-34
2010,182,Samarkand region,28,male,0,upper_secondary,upper_secondary,11,11,upper_secondary,upper_secondary,10,10,16047.2294921875,NA,NA,0,25-34
2010,182,Tashkent region,42,female,0,primary,primary,6,6,primary,primary,4,4,12208.046875,NA,NA,0,35-44
2010,182,Samarkand region,45,female,0,upper_secondary,upper_secondary,11,11,upper_secondary,upper_secondary,10,10,10240.12109375,NA,NA,1,45-54
2010,182,Samarkand region,29,male,0,upper_secondary,upper_secondary,11,11,upper_secondary,upper_secondary,10,10,16047.2294921875,NA,NA,0,25-34
2010,182,Bukhara region,34,female,1,upper_secondary,post_secondary_non_tertiary,11,13,post_secondary_non_tertiary,upper_secondary,14,10,15867.6982421875,NA,NA,1,25-34
2010,182,Tashkent region,33,female,1,tertiary,no_formal,16,0,no_formal,no_formal,0,0,15867.6982421875,NA,NA,1,25-34
2010,182,Karakalpakstan republic,55,female,0,upper_secondary,NA,11,NA,NA,NA,NA,NA,5185.65771484375,NA,NA,0,55-64
2010,182,Namangan region,49,female,1,upper_secondary,tertiary,11,16,tertiary,upper_secondary,15,12,10240.12109375,NA,NA,0,45-54
2010,182,Bukhara region,27,male,1,lower_secondary,upper_secondary,9,11,upper_secondary,lower_secondary,10,8,16047.2294921875,NA,NA,0,25-34
2010,182,Jizzakh region,54,female,0,upper_secondary,upper_secondary,11,11,upper_secondary,upper_secondary,10,10,10240.12109375,NA,NA,0,45-54
2010,182,Samarkand region,25,female,0,upper_secondary,tertiary,11,16,tertiary,post_secondary_non_tertiary,15,13,15867.6982421875,NA,NA,0,25-34
