year,hhid,province,urban,household_weight,multigenerational_hh,has_enrolled_member,education_spending_positive,has_tutoring,has_emigrant_hh,has_remittance_hh,remittance_for_education,internet_access_hh
2021,1222,Andijan,1,1.46569609004813,0,0,0,0,0,0,0,1
2021,12250,Andijan,0,0.945108385250072,0,0,0,0,0,0,0,1
2021,12277,Andijan,0,1.01028827388801,1,1,1,0,0,0,0,1
2021,1228,Andijan,1,1.1450750703501,0,0,0,0,1,1,0,1
2021,12287,Andijan,0,1.01028827388801,0,0,0,0,1,1,0,1
2021,12288,Andijan,0,1.01028827388801,0,0,0,0,0,0,0,0
2021,1229,Andijan,1,1.1450750703501,0,1,1,0,0,0,0,1
2021,12295,Andijan,0,1.01028827388801,1,1,1,0,0,0,0,0
2021,12296,Andijan,0,1.01028827388801,0,0,0,0,0,0,0,0
2021,12306,Andijan,0,0.976611998091741,0,1,1,0,1,1,0,1
2021,12312,Andijan,0,0.976611998091741,1,0,0,0,0,0,0,1
2021,12334,Andijan,0,0.88782908917431,0,0,0,0,0,0,0,1
2021,12335,Andijan,0,0.88782908917431,1,1,1,1,1,1,0,1
2021,1234,Andijan,1,1.22141340837344,1,0,0,0,0,0,0,1
2021,1235,Andijan,1,1.22141340837344,0,1,1,1,0,0,0,1
2021,12371,Andijan,0,0.861716468904478,1,0,0,0,0,0,0,1
2021,12388,Andijan,0,0.88782908917431,0,1,1,1,1,1,0,1
2021,12389,Andijan,0,0.88782908917431,0,1,1,0,0,0,0,1
2021,12401,Andijan,0,0.976611998091741,1,1,1,0,0,0,0,1
2021,12402,Andijan,0,0.976611998091741,1,0,0,0,0,0,0,1
2021,12446,Andijan,0,0.88782908917431,0,0,0,0,0,0,0,1
2021,12447,Andijan,0,0.88782908917431,1,0,0,0,0,0,0,1
2021,12448,Andijan,0,0.976611998091741,1,1,1,1,0,0,0,1
2021,12449,Andijan,0,0.976611998091741,0,0,0,0,0,0,0,1
2021,12465,Andijan,0,0.861716468904478,0,1,1,0,0,0,0,1
2021,12466,Andijan,0,0.861716468904478,0,1,1,0,0,0,0,1
2021,12525,Andijan,0,0.861716468904478,0,1,1,0,0,0,0,1
2021,12528,Andijan,0,0.861716468904478,0,0,0,0,1,1,0,1
2021,12556,Andijan,0,0.861716468904478,0,0,0,0,0,0,0,1
2021,12562,Andijan,1,1.42498230976902,0,1,1,0,0,0,0,1
2021,12563,Andijan,1,1.42498230976902,0,0,0,0,0,0,0,1
2021,12591,Andijan,0,0.88782908917431,0,1,1,1,0,0,0,1
2021,12592,Andijan,0,0.88782908917431,1,1,1,0,0,0,0,1
2021,12594,Andijan,0,0.88782908917431,0,1,1,1,0,0,0,1
2021,12596,Andijan,1,1.42498230976902,1,1,1,0,0,0,0,1
2021,12607,Andijan,0,0.88782908917431,0,0,0,0,0,0,0,1
2021,12636,Andijan,1,1.33592091540845,0,0,0,0,0,0,0,1
2021,12637,Andijan,1,1.33592091540845,0,0,0,0,0,0,0,1
2021,12639,Andijan,1,1.33592091540845,0,1,1,0,0,0,0,1
2021,12640,Andijan,1,1.33592091540845,0,1,1,0,0,0,0,1
2021,12650,Andijan,1,1.42498230976902,1,1,1,0,0,0,0,1
2021,12651,Andijan,1,1.42498230976902,1,0,0,0,0,0,0,1
2021,12707,Andijan,1,1.42498230976902,0,1,1,0,0,0,0,1
2021,12728,Andijan,0,0.88782908917431,0,1,1,0,1,1,0,1
2021,12729,Andijan,0,0.88782908917431,0,1,1,0,0,0,0,1
2021,12751,Andijan,1,1.37901513848615,0,1,1,0,0,0,0,1
2021,12752,Andijan,1,1.37901513848615,1,1,1,1,0,0,0,1
2021,12753,Andijan,1,1.37901513848615,0,0,0,0,1,1,0,1
2021,12768,Andijan,0,0.88782908917431,0,0,0,0,0,0,0,1
2021,12769,Andijan,0,0.88782908917431,0,0,0,0,0,0,0,1
2021,12799,Andijan,0,0.88782908917431,0,0,0,0,0,0,0,1
2021,12800,Andijan,0,0.88782908917431,1,1,1,0,0,0,0,1
2021,12812,Andijan,1,1.37901513848615,0,1,1,0,0,0,0,1
2021,12813,Andijan,1,1.37901513848615,0,0,0,0,0,0,0,1
2021,12814,Andijan,1,1.37901513848615,0,0,0,0,0,0,0,1
2021,12855,Andijan,0,0.88782908917431,0,1,1,1,0,0,0,1
2021,12856,Andijan,0,0.88782908917431,1,1,1,1,1,1,0,1
2021,12860,Andijan,1,1.29543846342638,0,0,0,0,0,0,0,1
2021,12861,Andijan,1,1.29543846342638,0,0,0,0,0,0,0,1
2021,12913,Andijan,0,0.976611998091741,1,1,1,1,0,0,0,1
2021,12926,Andijan,0,0.976611998091741,0,0,0,0,0,0,0,1
2021,12932,Andijan,1,1.29543846342638,0,1,1,0,0,0,0,1
2021,12933,Andijan,1,1.29543846342638,0,1,1,0,1,1,0,1
2021,1297,Andijan,1,1.1450750703501,0,1,1,1,0,0,0,1
2021,1298,Andijan,1,1.1450750703501,0,0,0,0,0,0,0,1
2021,12997,Andijan,0,0.976611998091741,1,1,1,0,0,0,0,1
2021,13011,Andijan,1,1.29543846342638,0,1,1,0,0,0,0,1
2021,13012,Andijan,1,1.29543846342638,1,1,1,1,0,0,0,1
2021,1302,Andijan,1,1.22141340837344,1,0,0,0,0,0,0,1
2021,13029,Andijan,0,0.976611998091741,0,0,0,0,0,0,0,1
2021,1303,Andijan,1,1.22141340837344,1,0,0,0,1,1,0,1
2021,1304,Andijan,1,1.22141340837344,0,0,0,0,0,0,0,1
2021,13061,Andijan,0,0.976611998091741,0,0,0,0,1,1,0,1
2021,13076,Andijan,0,0.976611998091741,0,1,1,0,0,0,0,1
2021,13171,Andijan,1,1.37901513848615,0,0,0,0,0,0,0,1
2021,13175,Andijan,1,1.37901513848615,1,0,0,0,0,0,0,1
2021,13233,Andijan,1,1.37901513848615,0,0,0,0,1,1,0,1
2021,13244,Andijan,1,1.37901513848615,0,0,0,0,0,0,0,1
2021,13245,Andijan,1,1.33592091540845,0,0,0,0,0,0,0,1
2021,13252,Andijan,0,1.01028827388801,1,0,0,0,0,0,0,1
2021,13253,Andijan,0,1.01028827388801,0,1,1,1,0,0,0,1
2021,13254,Andijan,0,1.01028827388801,1,1,1,0,1,1,0,1
2021,13255,Andijan,0,1.01028827388801,0,1,1,0,0,0,0,1
2021,13256,Andijan,0,1.01028827388801,0,1,1,1,0,0,0,1
2021,13258,Andijan,1,1.33592091540845,1,0,0,0,0,0,0,1
2021,13259,Andijan,1,1.33592091540845,1,1,1,1,0,0,0,1
2021,13307,Andijan,1,1.33592091540845,0,1,1,0,0,0,0,1
2021,13308,Andijan,1,1.33592091540845,1,1,1,0,0,0,0,1
2021,13313,Andijan,1,1.33592091540845,0,1,1,0,0,0,0,1
2021,13375,Andijan,0,0.945108385250072,1,1,1,0,0,0,0,1
2021,13376,Andijan,0,0.945108385250072,1,1,1,0,0,0,0,1
2021,13402,Andijan,0,0.945108385250072,0,0,0,0,1,1,0,1
2021,13403,Andijan,0,0.945108385250072,0,1,1,1,0,0,0,1
2021,13404,Andijan,0,0.945108385250072,0,1,1,1,1,1,0,1
2021,13486,Andijan,0,1.01028827388801,1,1,1,0,0,0,0,1
2021,13549,Andijan,1,1.22141340837344,0,0,0,0,0,0,0,1
2021,13552,Andijan,1,1.1450750703501,1,1,1,0,0,0,0,1
2021,13553,Andijan,1,1.1450750703501,0,0,0,0,0,0,0,1
2021,13580,Andijan,1,1.5267667604668,1,0,0,0,0,0,0,1
2021,13581,Andijan,1,1.5267667604668,0,1,1,1,0,0,0,1
2021,13589,Andijan,1,1.22141340837344,0,0,0,0,0,0,0,1
2021,13593,Andijan,1,1.22141340837344,0,0,0,0,0,0,0,1
2021,13598,Andijan,1,1.1450750703501,1,0,0,0,0,0,0,1
2021,13599,Andijan,1,1.1450750703501,0,1,1,1,0,0,0,1
2021,13622,Andijan,0,1.15461517015772,0,0,0,0,0,0,0,1
2021,13639,Andijan,1,1.22141340837344,0,1,1,1,1,1,0,1
2021,13647,Andijan,1,1.1450750703501,0,1,1,1,1,1,0,1
2021,13656,Andijan,1,1.5267667604668,0,0,0,0,1,1,0,1
2021,13658,Andijan,1,1.5267667604668,0,1,1,1,1,1,0,1
2021,13674,Andijan,1,1.22141340837344,0,1,1,1,0,0,0,1
2021,13682,Andijan,0,1.39515999727392,0,0,0,0,0,0,0,1
2021,13683,Andijan,0,1.39515999727392,0,1,1,1,0,0,0,1
2021,13685,Andijan,0,1.15461517015772,0,1,1,0,1,1,0,1
2021,13717,Andijan,0,1.15461517015772,0,0,0,0,0,0,0,1
2021,13719,Andijan,0,1.15461517015772,0,0,0,0,1,1,0,1
2021,13757,Andijan,1,1.46569609004813,1,1,1,1,0,0,0,1
2021,13758,Andijan,1,1.46569609004813,0,1,1,1,0,0,0,1
2021,1376,Andijan,1,1.5267667604668,0,0,0,0,0,0,0,1
2021,1377,Andijan,1,1.5267667604668,0,0,0,0,0,0,0,1
2021,13829,Andijan,1,1.46569609004813,1,0,0,0,0,0,0,1
2021,13830,Andijan,1,1.46569609004813,0,1,1,0,1,1,0,1
2021,1391,Andijan,0,1.39515999727392,0,0,0,0,0,0,0,1
2021,13956,Andijan,0,1.39515999727392,0,1,1,0,0,0,0,1
2021,13957,Andijan,0,1.39515999727392,0,1,1,0,1,1,0,1
2021,1397,Andijan,0,1.39515999727392,0,1,1,1,1,1,0,1
2021,13979,Andijan,1,1.46569609004813,0,1,1,0,0,0,0,1
2021,1398,Andijan,0,1.39515999727392,0,0,0,0,1,1,0,1
