audit_row_id,wave_year,age,cohort,region,gender_group,urban_group,sample_weight,age_eligible,weight_valid,own_category_observed,own_years_observed,father_observed,mother_observed,father_only_observed,mother_only_observed,both_parents_observed,neither_parent_observed,parent_category_observed,parent_years_observed,rank_model_included,category_model_included,module_b_included
81,2010,29,25-34,Tashkent region,male,urban,16047.2294921875,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
82,2010,29,25-34,Karakalpakstan republic,female,rural,15867.6982421875,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
83,2010,32,25-34,Bukhara region,male,urban,16047.2294921875,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
84,2010,37,35-44,Namangan region,male,rural,11876.6064453125,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
85,2010,39,35-44,Tashkent city,female,NA,12208.046875,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
86,2010,29,25-34,Khorezm region,female,rural,15867.6982421875,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
87,2010,52,45-54,Navoi region,female,rural,10240.12109375,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
88,2010,56,55-64,Namangan region,female,rural,5185.65771484375,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
89,2010,48,45-54,Tashkent region,female,urban,10240.12109375,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
90,2010,28,25-34,Jizzakh region,female,urban,15867.6982421875,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
91,2010,49,45-54,Samarkand region,male,rural,9542.7158203125,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
