"file","year","module","var","topic"
"data/raw/hbs/20241231/uzb_hbs_2024_20241231_m02_migration.dta",2024,"m02_migration","emig_remit_use_educ","education"
"data/raw/hbs/20241231/uzb_hbs_2024_20241231_m03_education.dta",2024,"m03_education","edu_highest","education"
"data/raw/hbs/20241231/uzb_hbs_2024_20241231_m03_education.dta",2024,"m03_education","edu_years","education"
"data/raw/hbs/20241231/uzb_hbs_2024_20241231_m03_education.dta",2024,"m03_education","edu_complete","education"
"data/raw/hbs/20241231/uzb_hbs_2024_20241231_m03_education.dta",2024,"m03_education","edu_enrolled","education"
"data/raw/hbs/20241231/uzb_hbs_2024_20241231_m03_education.dta",2024,"m03_education","edu_last_grade","education"
"data/raw/hbs/20241231/uzb_hbs_2024_20241231_m03_education.dta",2024,"m03_education","edu_public","education"
"data/raw/hbs/20241231/uzb_hbs_2024_20241231_m03_education.dta",2024,"m03_education","edu_cost_tuition","education"
"data/raw/hbs/20241231/uzb_hbs_2024_20241231_m03_education.dta",2024,"m03_education","edu_cost_uniform","education"
"data/raw/hbs/20241231/uzb_hbs_2024_20241231_m03_education.dta",2024,"m03_education","edu_cost_textbook","education"
"data/raw/hbs/20241231/uzb_hbs_2024_20241231_m03_education.dta",2024,"m03_education","edu_cost_supply","education"
"data/raw/hbs/20241231/uzb_hbs_2024_20241231_m03_education.dta",2024,"m03_education","edu_cost_meal","education"
"data/raw/hbs/20241231/uzb_hbs_2024_20241231_m03_education.dta",2024,"m03_education","edu_cost_equipment","education"
"data/raw/hbs/20241231/uzb_hbs_2024_20241231_m03_education.dta",2024,"m03_education","edu_cost_gift","education"
"data/raw/hbs/20241231/uzb_hbs_2024_20241231_m03_education.dta",2024,"m03_education","edu_cost_other","education"
"data/raw/hbs/20241231/uzb_hbs_2024_20241231_m03_education.dta",2024,"m03_education","edu_cost_total","education"
"data/raw/hbs/20241231/uzb_hbs_2024_20241231_m03_education.dta",2024,"m03_education","edu_cost_inkind","education"
"data/raw/hbs/20241231/uzb_hbs_2024_20241231_m03_education.dta",2024,"m03_education","edu_cost_service","education"
"data/raw/hbs/20241231/uzb_hbs_2024_20241231_m03_education.dta",2024,"m03_education","edu_tutor","education"
"data/raw/hbs/20241231/uzb_hbs_2024_20241231_m03_education.dta",2024,"m03_education","edu_tutor_fee","education"
"data/raw/hbs/20251221/uzb_hbs_2025_20251221_m02_migration.dta",2025,"m02_migration","emig_remit_use_educ","education"
"data/raw/hbs/20251221/uzb_hbs_2025_20251221_m03_education.dta",2025,"m03_education","edu_highest","education"
"data/raw/hbs/20251221/uzb_hbs_2025_20251221_m03_education.dta",2025,"m03_education","edu_stem","education"
"data/raw/hbs/20251221/uzb_hbs_2025_20251221_m03_education.dta",2025,"m03_education","edu_years","education"
"data/raw/hbs/20251221/uzb_hbs_2025_20251221_m03_education.dta",2025,"m03_education","edu_enrolled","education"
"data/raw/hbs/20251221/uzb_hbs_2025_20251221_m03_education.dta",2025,"m03_education","edu_last_grade","education"
"data/raw/hbs/20251221/uzb_hbs_2025_20251221_m03_education.dta",2025,"m03_education","edu_grade","education"
"data/raw/hbs/20251221/uzb_hbs_2025_20251221_m03_education.dta",2025,"m03_education","edu_complete","education"
"data/raw/hbs/20251221/uzb_hbs_2025_20251221_m03_education.dta",2025,"m03_education","edu_public","education"
"data/raw/hbs/20251221/uzb_hbs_2025_20251221_m03_education.dta",2025,"m03_education","edu_cost_tuition","education"
"data/raw/hbs/20251221/uzb_hbs_2025_20251221_m03_education.dta",2025,"m03_education","edu_cost_uniform","education"
"data/raw/hbs/20251221/uzb_hbs_2025_20251221_m03_education.dta",2025,"m03_education","edu_cost_textbook","education"
"data/raw/hbs/20251221/uzb_hbs_2025_20251221_m03_education.dta",2025,"m03_education","edu_cost_supply","education"
"data/raw/hbs/20251221/uzb_hbs_2025_20251221_m03_education.dta",2025,"m03_education","edu_cost_meal","education"
"data/raw/hbs/20251221/uzb_hbs_2025_20251221_m03_education.dta",2025,"m03_education","edu_cost_equipment","education"
"data/raw/hbs/20251221/uzb_hbs_2025_20251221_m03_education.dta",2025,"m03_education","edu_cost_gift","education"
"data/raw/hbs/20251221/uzb_hbs_2025_20251221_m03_education.dta",2025,"m03_education","edu_cost_tutor","education"
"data/raw/hbs/20251221/uzb_hbs_2025_20251221_m03_education.dta",2025,"m03_education","edu_cost_other","education"
"data/raw/hbs/20251221/uzb_hbs_2025_20251221_m03_education.dta",2025,"m03_education","edu_cost_total","education"
"data/raw/hbs/20251221/uzb_hbs_2025_20251221_m03_education.dta",2025,"m03_education","edu_cost_inkind","education"
"data/raw/hbs/20251221/uzb_hbs_2025_20251221_m03_education.dta",2025,"m03_education","edu_cost_service","education"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m00_passport.dta",2021,"m00_passport","mahalla","region"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m00_weight.dta",2021,"m00_weight","mahalla","region"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m00_weight.dta",2021,"m00_weight","urban","region"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m00_weight1.dta",2021,"m00_weight1","mahalla","region"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m00_weight1.dta",2021,"m00_weight1","urban","region"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m00_weight2.dta",2021,"m00_weight2","mahalla","region"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m00_weight2.dta",2021,"m00_weight2","urban","region"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m01_roster.dta",2021,"m01_roster","mahalla","region"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m02_migration.dta",2021,"m02_migration","mahalla","region"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m02_migration.dta",2021,"m02_migration","immig_district","region"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m03_education.dta",2021,"m03_education","mahalla","region"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta",2021,"m13_internet","mahalla","region"
"data/raw/hbs/20221231/uzb_hbs_2022_20221231_m00_passport.dta",2022,"m00_passport","mahalla","region"
