"file","module","var"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m02_migration.dta","m02_migration","emig_work"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m02_migration.dta","m02_migration","hy"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m03_education.dta","m03_education","iid"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m03_education.dta","m03_education","sid"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m03_education.dta","m03_education","hhid"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m03_education.dta","m03_education","fmid"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m03_education.dta","m03_education","date"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m03_education.dta","m03_education","province"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m03_education.dta","m03_education","mahalla"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m03_education.dta","m03_education","icode"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m03_education.dta","m03_education","agreement"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m03_education.dta","m03_education","hhsize"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m03_education.dta","m03_education","gender"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m03_education.dta","m03_education","age"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m03_education.dta","m03_education","relationship"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m03_education.dta","m03_education","language_native"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m03_education.dta","m03_education","language_second"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m03_education.dta","m03_education","language_third"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m03_education.dta","m03_education","marital_status"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m03_education.dta","m03_education","edu_highest"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m03_education.dta","m03_education","edu_years"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m03_education.dta","m03_education","edu_enrolled"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m03_education.dta","m03_education","edu_last_grade"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m03_education.dta","m03_education","edu_public"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m03_education.dta","m03_education","edu_cost_tuition"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m03_education.dta","m03_education","edu_cost_uniform"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m03_education.dta","m03_education","edu_cost_textbook"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m03_education.dta","m03_education","edu_cost_supply"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m03_education.dta","m03_education","edu_cost_meal"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m03_education.dta","m03_education","edu_cost_equipment"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m03_education.dta","m03_education","edu_cost_gift"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m03_education.dta","m03_education","edu_cost_other"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m03_education.dta","m03_education","edu_cost_total"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m03_education.dta","m03_education","edu_cost_inkind"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m03_education.dta","m03_education","edu_cost_service"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m03_education.dta","m03_education","edu_tutor"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m03_education.dta","m03_education","edu_tutor_fee"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m03_education.dta","m03_education","uuid"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m03_education.dta","m03_education","m00uuid"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m03_education.dta","m03_education","hy"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","iid"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","sid"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","hhid"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","fmid"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","date"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","province"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","mahalla"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","icode"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","agreement"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","hhsize"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","gender"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","age"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","relationship"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","language_native"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","language_second"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","language_third"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","marital_status"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","internet"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","internet_service"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","internet_service_1"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","internet_service_2"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","internet_service_3"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","internet_service_4"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","internet_service_5"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","internet_service_6"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","internet_reason"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","internet_reason_1"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","internet_reason_2"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","internet_reason_3"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","internet_reason_4"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","internet_reason_5"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","internet_reason_6"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","internet_reason_7"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","internet_reason_8"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","internet_reason_9"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","internet_reason_10"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","internet_reason_11"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","internet_reason_12"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","tv_service"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","tv_service_1"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","tv_service_2"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","tv_service_3"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","tv_service_4"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","tv_service_other"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","tv_service_count"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","mobile_use"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","mobile_phone"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","computer_use"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","computer_type"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","computer_type_1"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","computer_type_2"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","computer_type_3"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","computer_activity"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","computer_activity_1"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","computer_activity_2"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","computer_activity_3"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta","m13_internet","computer_activity_4"
