sample_label,survey_year,admin_region,cohort_exposure_group,low_parent_education,n
no_migration_signal,2025,Republic of Karakalpakstan,full_overlap_4,0,103
no_migration_signal,2025,Republic of Karakalpakstan,full_overlap_4,1,26
no_migration_signal,2025,Republic of Karakalpakstan,partial_overlap_1_2,0,115
no_migration_signal,2025,Republic of Karakalpakstan,partial_overlap_1_2,1,14
no_migration_signal,2025,Republic of Karakalpakstan,partial_overlap_3,0,83
no_migration_signal,2025,Republic of Karakalpakstan,partial_overlap_3,1,21
no_migration_signal,2025,Samarkand region,full_overlap_4,0,57
no_migration_signal,2025,Samarkand region,full_overlap_4,1,75
no_migration_signal,2025,Samarkand region,partial_overlap_1_2,0,64
no_migration_signal,2025,Samarkand region,partial_overlap_1_2,1,67
no_migration_signal,2025,Samarkand region,partial_overlap_3,0,33
no_migration_signal,2025,Samarkand region,partial_overlap_3,1,46
no_migration_signal,2025,Surkhandarya region,full_overlap_4,0,72
no_migration_signal,2025,Surkhandarya region,full_overlap_4,1,28
no_migration_signal,2025,Surkhandarya region,partial_overlap_1_2,0,72
no_migration_signal,2025,Surkhandarya region,partial_overlap_1_2,1,31
no_migration_signal,2025,Surkhandarya region,partial_overlap_3,0,63
no_migration_signal,2025,Surkhandarya region,partial_overlap_3,1,23
no_migration_signal,2025,Syrdarya region,full_overlap_4,0,83
no_migration_signal,2025,Syrdarya region,full_overlap_4,1,11
no_migration_signal,2025,Syrdarya region,partial_overlap_1_2,0,90
no_migration_signal,2025,Syrdarya region,partial_overlap_1_2,1,16
no_migration_signal,2025,Syrdarya region,partial_overlap_3,0,58
no_migration_signal,2025,Syrdarya region,partial_overlap_3,1,9
no_migration_signal,2025,Tashkent city,full_overlap_4,0,52
no_migration_signal,2025,Tashkent city,full_overlap_4,1,6
no_migration_signal,2025,Tashkent city,partial_overlap_1_2,0,72
no_migration_signal,2025,Tashkent city,partial_overlap_1_2,1,5
no_migration_signal,2025,Tashkent city,partial_overlap_3,0,53
no_migration_signal,2025,Tashkent city,partial_overlap_3,1,10
no_migration_signal,2025,Tashkent region,full_overlap_4,0,102
no_migration_signal,2025,Tashkent region,full_overlap_4,1,61
no_migration_signal,2025,Tashkent region,partial_overlap_1_2,0,73
no_migration_signal,2025,Tashkent region,partial_overlap_1_2,1,46
no_migration_signal,2025,Tashkent region,partial_overlap_3,0,65
no_migration_signal,2025,Tashkent region,partial_overlap_3,1,29
conservative_likely_stayer,2025,Andijan region,full_overlap_4,0,46
conservative_likely_stayer,2025,Andijan region,full_overlap_4,1,29
conservative_likely_stayer,2025,Andijan region,partial_overlap_1_2,0,64
conservative_likely_stayer,2025,Andijan region,partial_overlap_1_2,1,36
conservative_likely_stayer,2025,Andijan region,partial_overlap_3,0,40
conservative_likely_stayer,2025,Andijan region,partial_overlap_3,1,21
conservative_likely_stayer,2025,Bukhara region,full_overlap_4,0,50
conservative_likely_stayer,2025,Bukhara region,full_overlap_4,1,33
conservative_likely_stayer,2025,Bukhara region,partial_overlap_1_2,0,43
conservative_likely_stayer,2025,Bukhara region,partial_overlap_1_2,1,27
conservative_likely_stayer,2025,Bukhara region,partial_overlap_3,0,34
conservative_likely_stayer,2025,Bukhara region,partial_overlap_3,1,29
conservative_likely_stayer,2025,Fergana region,full_overlap_4,0,71
conservative_likely_stayer,2025,Fergana region,full_overlap_4,1,10
conservative_likely_stayer,2025,Fergana region,partial_overlap_1_2,0,86
conservative_likely_stayer,2025,Fergana region,partial_overlap_1_2,1,10
conservative_likely_stayer,2025,Fergana region,partial_overlap_3,0,58
conservative_likely_stayer,2025,Fergana region,partial_overlap_3,1,6
conservative_likely_stayer,2025,Jizzakh region,full_overlap_4,0,61
conservative_likely_stayer,2025,Jizzakh region,full_overlap_4,1,71
conservative_likely_stayer,2025,Jizzakh region,partial_overlap_1_2,0,40
conservative_likely_stayer,2025,Jizzakh region,partial_overlap_1_2,1,72
conservative_likely_stayer,2025,Jizzakh region,partial_overlap_3,0,29
conservative_likely_stayer,2025,Jizzakh region,partial_overlap_3,1,44
conservative_likely_stayer,2025,Kashkadarya region,full_overlap_4,0,86
conservative_likely_stayer,2025,Kashkadarya region,full_overlap_4,1,22
conservative_likely_stayer,2025,Kashkadarya region,partial_overlap_1_2,0,90
conservative_likely_stayer,2025,Kashkadarya region,partial_overlap_1_2,1,26
conservative_likely_stayer,2025,Kashkadarya region,partial_overlap_3,0,59
conservative_likely_stayer,2025,Kashkadarya region,partial_overlap_3,1,19
conservative_likely_stayer,2025,Khorezm region,full_overlap_4,0,51
conservative_likely_stayer,2025,Khorezm region,full_overlap_4,1,34
conservative_likely_stayer,2025,Khorezm region,partial_overlap_1_2,0,61
conservative_likely_stayer,2025,Khorezm region,partial_overlap_1_2,1,25
conservative_likely_stayer,2025,Khorezm region,partial_overlap_3,0,45
conservative_likely_stayer,2025,Khorezm region,partial_overlap_3,1,13
conservative_likely_stayer,2025,Namangan region,full_overlap_4,0,36
conservative_likely_stayer,2025,Namangan region,full_overlap_4,1,33
conservative_likely_stayer,2025,Namangan region,partial_overlap_1_2,0,36
conservative_likely_stayer,2025,Namangan region,partial_overlap_1_2,1,39
conservative_likely_stayer,2025,Namangan region,partial_overlap_3,0,29
conservative_likely_stayer,2025,Namangan region,partial_overlap_3,1,23
conservative_likely_stayer,2025,Navoi region,full_overlap_4,0,49
conservative_likely_stayer,2025,Navoi region,full_overlap_4,1,30
conservative_likely_stayer,2025,Navoi region,partial_overlap_1_2,0,57
conservative_likely_stayer,2025,Navoi region,partial_overlap_1_2,1,26
conservative_likely_stayer,2025,Navoi region,partial_overlap_3,0,45
conservative_likely_stayer,2025,Navoi region,partial_overlap_3,1,22
conservative_likely_stayer,2025,Republic of Karakalpakstan,full_overlap_4,0,79
conservative_likely_stayer,2025,Republic of Karakalpakstan,full_overlap_4,1,20
conservative_likely_stayer,2025,Republic of Karakalpakstan,partial_overlap_1_2,0,98
conservative_likely_stayer,2025,Republic of Karakalpakstan,partial_overlap_1_2,1,12
conservative_likely_stayer,2025,Republic of Karakalpakstan,partial_overlap_3,0,71
conservative_likely_stayer,2025,Republic of Karakalpakstan,partial_overlap_3,1,16
conservative_likely_stayer,2025,Samarkand region,full_overlap_4,0,50
conservative_likely_stayer,2025,Samarkand region,full_overlap_4,1,67
conservative_likely_stayer,2025,Samarkand region,partial_overlap_1_2,0,52
conservative_likely_stayer,2025,Samarkand region,partial_overlap_1_2,1,52
conservative_likely_stayer,2025,Samarkand region,partial_overlap_3,0,28
conservative_likely_stayer,2025,Samarkand region,partial_overlap_3,1,38
conservative_likely_stayer,2025,Surkhandarya region,full_overlap_4,0,59
conservative_likely_stayer,2025,Surkhandarya region,full_overlap_4,1,22
conservative_likely_stayer,2025,Surkhandarya region,partial_overlap_1_2,0,58
conservative_likely_stayer,2025,Surkhandarya region,partial_overlap_1_2,1,19
conservative_likely_stayer,2025,Surkhandarya region,partial_overlap_3,0,52
conservative_likely_stayer,2025,Surkhandarya region,partial_overlap_3,1,14
conservative_likely_stayer,2025,Syrdarya region,full_overlap_4,0,74
conservative_likely_stayer,2025,Syrdarya region,full_overlap_4,1,11
conservative_likely_stayer,2025,Syrdarya region,partial_overlap_1_2,0,75
conservative_likely_stayer,2025,Syrdarya region,partial_overlap_1_2,1,15
conservative_likely_stayer,2025,Syrdarya region,partial_overlap_3,0,50
conservative_likely_stayer,2025,Syrdarya region,partial_overlap_3,1,8
conservative_likely_stayer,2025,Tashkent city,full_overlap_4,0,51
conservative_likely_stayer,2025,Tashkent city,full_overlap_4,1,6
conservative_likely_stayer,2025,Tashkent city,partial_overlap_1_2,0,70
conservative_likely_stayer,2025,Tashkent city,partial_overlap_1_2,1,5
conservative_likely_stayer,2025,Tashkent city,partial_overlap_3,0,53
conservative_likely_stayer,2025,Tashkent city,partial_overlap_3,1,10
conservative_likely_stayer,2025,Tashkent region,full_overlap_4,0,94
conservative_likely_stayer,2025,Tashkent region,full_overlap_4,1,56
conservative_likely_stayer,2025,Tashkent region,partial_overlap_1_2,0,63
conservative_likely_stayer,2025,Tashkent region,partial_overlap_1_2,1,39
conservative_likely_stayer,2025,Tashkent region,partial_overlap_3,0,62
conservative_likely_stayer,2025,Tashkent region,partial_overlap_3,1,27
